role,required_skills,roadmap
Software Engineer,Python|Java|C++|DSA|OOP|Git|REST API,Programming > DSA > OOP > Git > APIs
Data Scientist,Python|Statistics|Machine Learning|SQL|Pandas|NumPy|Data Visualization,Python > Statistics > ML > SQL > Visualization
Machine Learning Engineer,Python|Machine Learning|Deep Learning|TensorFlow|PyTorch|Data Preprocessing|Model Deployment,ML Basics > Deep Learning > Frameworks > Deployment
Frontend Developer,HTML|CSS|JavaScript|React|Git|Responsive Design,HTML > CSS > JavaScript > React
Backend Developer,Python|Django|REST API|MySQL|Authentication|Git,Python > Django > APIs > Database
Data Analyst,Excel|SQL|Python|Power BI|Statistics,Excel > SQL > Python > Power BI
DevOps Engineer,Linux|Docker|Git|CI/CD|AWS,Linux > Docker > CI/CD > Cloud
Cyber Security Analyst,Networking|Linux|Security Fundamentals|Ethical Hacking|Firewalls,Networking > Linux > Security > Hacking
Cloud Engineer,AWS|Linux|Networking|Docker|Terraform,Cloud Basics > Linux > Containers > IaC
Mobile App Developer,Java|Kotlin|Android|REST API|Git,Java > Android > APIs
